"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"自我生成观察变化事件"	"3"	"3"	"0"	"2"	"2x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26727: inline 存在节点类* 自我生成观察变化事件( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1168: inline 存在节点类* 自我生成观察变化事件( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12788: inline 存在节点类* 自我生成观察变化事件( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我用空间范围投影覆盖原帧验证像素归属"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:27192: inline 存在节点类* 自我用空间范围投影覆盖原帧验证像素归属( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1042: inline 存在节点类* 自我用空间范围投影覆盖原帧验证像素归属( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12689: inline 存在节点类* 自我用空间范围投影覆盖原帧验证像素归属( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我确保存在内部世界"	"3"	"3"	"0"	"2"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26301: inline 存在节点类* 自我确保存在内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1060: inline 存在节点类* 自我确保存在内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12707: inline 存在节点类* 自我确保存在内部世界( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我确认内部世界子存在"	"3"	"3"	"0"	"2"	"2x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:26373: inline 存在节点类* 自我确认内部世界子存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1096: inline 存在节点类* 自我确认内部世界子存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12743: inline 存在节点类* 自我确认内部世界子存在( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我确认外设观察存在候选"	"3"	"3"	"0"	"2"	"2x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:23268: inline 存在节点类* 自我确认外设观察存在候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:853: inline 存在节点类* 自我确认外设观察存在候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12491: inline 存在节点类* 自我确认外设观察存在候选( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我确认观察存在并更新帧解释状态"	"3"	"3"	"0"	"2"	"2x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=校验;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:27276: inline 存在节点类* 自我确认观察存在并更新帧解释状态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1051: inline 存在节点类* 自我确认观察存在并更新帧解释状态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12698: inline 存在节点类* 自我确认观察存在并更新帧解释状态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我观察单个空间候选并组合存在假设"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:27110: inline 存在节点类* 自我观察单个空间候选并组合存在假设( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:1033: inline 存在节点类* 自我观察单个空间候选并组合存在假设( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12680: inline 存在节点类* 自我观察单个空间候选并组合存在假设( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我评估观察帧质量"	"3"	"3"	"0"	"2"	"2x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:19076: inline 存在节点类* 自我评估观察帧质量( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:727: inline 存在节点类* 自我评估观察帧质量( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12338: inline 存在节点类* 自我评估观察帧质量( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我识别外设观察材料"	"3"	"3"	"0"	"2"	"2x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:21884: inline 存在节点类* 自我识别外设观察材料( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:826: inline 存在节点类* 自我识别外设观察材料( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12455: inline 存在节点类* 自我识别外设观察材料( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我诊断观察质量缺口并派生补观察需求"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:25692: inline 存在节点类* 自我诊断观察质量缺口并派生补观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:736: inline 存在节点类* 自我诊断观察质量缺口并派生补观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12347: inline 存在节点类* 自我诊断观察质量缺口并派生补观察需求( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我读取自我关键特征变化"	"3"	"3"	"0"	"2"	"2x 类别=读取;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=读取;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:20858: inline 存在节点类* 自我读取自我关键特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:763: inline 存在节点类* 自我读取自我关键特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12374: inline 存在节点类* 自我读取自我关键特征变化( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
"自我调整外设观察姿态"	"3"	"3"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=noexcept+inline"	"2x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:25989: inline 存在节点类* 自我调整外设观察姿态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现.外部模块.ixx:961: inline 存在节点类* 自我调整外设观察姿态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept || 自我动作实现模块.ixx:12626: inline 存在节点类* 自我调整外设观察姿态( 方法类::节点类* 方法首节点, 场景节点类* 输入参数场景, 场景节点类* 输出结果场景) noexcept"	"同名不同功能或约束，禁止直接合并"
